"","ID","NPGS site","variable","emission","year","value"
"243",2,"Washington, Pullman","bioc_8","SSP126","2061-2080",1.03000001460314
"244",2,"Washington, Pullman","bioc_9","SSP126","2061-2080",22.5600002288818
"245",2,"Washington, Pullman","bioc_10","SSP126","2061-2080",20.7599998474121
"246",2,"Washington, Pullman","bioc_11","SSP126","2061-2080",1.88999999761581
"247",2,"Washington, Pullman","bioc_13","SSP126","2061-2080",77.3
"248",2,"Washington, Pullman","bioc_14","SSP126","2061-2080",19.6
"249",2,"Washington, Pullman","bioc_16","SSP126","2061-2080",220
"250",2,"Washington, Pullman","bioc_17","SSP126","2061-2080",64.5
"251",2,"Washington, Pullman","bioc_18","SSP126","2061-2080",71.2
"252",2,"Washington, Pullman","bioc_19","SSP126","2061-2080",203.4
"253",2,"Washington, Pullman","bioc_5","SSP126","2081-2100",32.2
"254",2,"Washington, Pullman","bioc_6","SSP126","2081-2100",-2.33999997377396
"255",2,"Washington, Pullman","bioc_8","SSP126","2081-2100",0.950000001490116
"256",2,"Washington, Pullman","bioc_9","SSP126","2081-2100",22.4900001525879
"257",2,"Washington, Pullman","bioc_10","SSP126","2081-2100",20.7000001907349
"258",2,"Washington, Pullman","bioc_11","SSP126","2081-2100",1.83999999165535
"259",2,"Washington, Pullman","bioc_13","SSP126","2081-2100",78
"260",2,"Washington, Pullman","bioc_14","SSP126","2081-2100",20.2
"261",2,"Washington, Pullman","bioc_16","SSP126","2081-2100",219.8
"262",2,"Washington, Pullman","bioc_17","SSP126","2081-2100",65.6
"263",2,"Washington, Pullman","bioc_18","SSP126","2081-2100",73.3
"264",2,"Washington, Pullman","bioc_19","SSP126","2081-2100",199.8
"265",2,"Washington, Pullman","bioc_5","SSP245","2021-2040",31.6799999237061
"266",2,"Washington, Pullman","bioc_6","SSP245","2021-2040",-3.15000001192093
"267",2,"Washington, Pullman","bioc_8","SSP245","2021-2040",0.410000003874302
"268",2,"Washington, Pullman","bioc_9","SSP245","2021-2040",21.9300001144409
"269",2,"Washington, Pullman","bioc_10","SSP245","2021-2040",20.110000038147
"270",2,"Washington, Pullman","bioc_11","SSP245","2021-2040",1.09000000953674
"271",2,"Washington, Pullman","bioc_13","SSP245","2021-2040",75.2
"272",2,"Washington, Pullman","bioc_14","SSP245","2021-2040",19.6
"273",2,"Washington, Pullman","bioc_16","SSP245","2021-2040",216.1
"274",2,"Washington, Pullman","bioc_17","SSP245","2021-2040",63.2
"275",2,"Washington, Pullman","bioc_18","SSP245","2021-2040",73.6
"276",2,"Washington, Pullman","bioc_19","SSP245","2021-2040",199.9
"277",2,"Washington, Pullman","bioc_5","SSP245","2041-2060",32.5799999237061
"278",2,"Washington, Pullman","bioc_6","SSP245","2041-2060",-2.22999999523163
"279",2,"Washington, Pullman","bioc_8","SSP245","2041-2060",1.22000000476837
"280",2,"Washington, Pullman","bioc_9","SSP245","2041-2060",22.8800001144409
"281",2,"Washington, Pullman","bioc_10","SSP245","2041-2060",21.0199998855591
"282",2,"Washington, Pullman","bioc_11","SSP245","2041-2060",1.93999998569489
"283",2,"Washington, Pullman","bioc_13","SSP245","2041-2060",77.6
"284",2,"Washington, Pullman","bioc_14","SSP245","2041-2060",18.8
"285",2,"Washington, Pullman","bioc_16","SSP245","2041-2060",220
"286",2,"Washington, Pullman","bioc_17","SSP245","2041-2060",63.2
"287",2,"Washington, Pullman","bioc_18","SSP245","2041-2060",71.8
"288",2,"Washington, Pullman","bioc_19","SSP245","2041-2060",203.8
"289",2,"Washington, Pullman","bioc_5","SSP245","2061-2080",33.4199996948242
"290",2,"Washington, Pullman","bioc_6","SSP245","2061-2080",-1.50000001788139
"291",2,"Washington, Pullman","bioc_8","SSP245","2061-2080",1.67999999672174
"292",2,"Washington, Pullman","bioc_9","SSP245","2061-2080",23.7300001144409
"293",2,"Washington, Pullman","bioc_10","SSP245","2061-2080",21.7699998855591
"294",2,"Washington, Pullman","bioc_11","SSP245","2061-2080",2.55000001192093
"295",2,"Washington, Pullman","bioc_13","SSP245","2061-2080",78.3
"296",2,"Washington, Pullman","bioc_14","SSP245","2061-2080",19.8
"297",2,"Washington, Pullman","bioc_16","SSP245","2061-2080",223.4
"298",2,"Washington, Pullman","bioc_17","SSP245","2061-2080",64.2
"299",2,"Washington, Pullman","bioc_18","SSP245","2061-2080",67.9
"300",2,"Washington, Pullman","bioc_19","SSP245","2061-2080",204.1
"301",2,"Washington, Pullman","bioc_5","SSP245","2081-2100",33.9399997711182
"302",2,"Washington, Pullman","bioc_6","SSP245","2081-2100",-1.28000000417233
"303",2,"Washington, Pullman","bioc_8","SSP245","2081-2100",1.98999998271465
"304",2,"Washington, Pullman","bioc_9","SSP245","2081-2100",24.3
"305",2,"Washington, Pullman","bioc_10","SSP245","2081-2100",22.310000038147
"306",2,"Washington, Pullman","bioc_11","SSP245","2081-2100",2.84999998807907
"307",2,"Washington, Pullman","bioc_13","SSP245","2081-2100",78.9
"308",2,"Washington, Pullman","bioc_14","SSP245","2081-2100",19.4
"309",2,"Washington, Pullman","bioc_16","SSP245","2081-2100",224.6
"310",2,"Washington, Pullman","bioc_17","SSP245","2081-2100",63.9
"311",2,"Washington, Pullman","bioc_18","SSP245","2081-2100",65.3
"312",2,"Washington, Pullman","bioc_19","SSP245","2081-2100",209.5
"313",2,"Washington, Pullman","bioc_5","SSP370","2021-2040",31.6100002288818
"314",2,"Washington, Pullman","bioc_6","SSP370","2021-2040",-3.06999999284744
"315",2,"Washington, Pullman","bioc_8","SSP370","2021-2040",0.300000002980232
"316",2,"Washington, Pullman","bioc_9","SSP370","2021-2040",21.9200002670288
"317",2,"Washington, Pullman","bioc_10","SSP370","2021-2040",20.0899997711182
"318",2,"Washington, Pullman","bioc_11","SSP370","2021-2040",1.10000000596046
"319",2,"Washington, Pullman","bioc_13","SSP370","2021-2040",75.7
"320",2,"Washington, Pullman","bioc_14","SSP370","2021-2040",20.1
"321",2,"Washington, Pullman","bioc_16","SSP370","2021-2040",215.3
"322",2,"Washington, Pullman","bioc_17","SSP370","2021-2040",64.5
"323",2,"Washington, Pullman","bioc_18","SSP370","2021-2040",77.9
"324",2,"Washington, Pullman","bioc_19","SSP370","2021-2040",197.4
"325",2,"Washington, Pullman","bioc_5","SSP370","2041-2060",32.9399997711182
"326",2,"Washington, Pullman","bioc_6","SSP370","2041-2060",-2.28000002503395
"327",2,"Washington, Pullman","bioc_8","SSP370","2041-2060",1.14000001847744
"328",2,"Washington, Pullman","bioc_9","SSP370","2041-2060",23.260000038147
"329",2,"Washington, Pullman","bioc_10","SSP370","2041-2060",21.3599998474121
"330",2,"Washington, Pullman","bioc_11","SSP370","2041-2060",1.9200000166893
"331",2,"Washington, Pullman","bioc_13","SSP370","2041-2060",77
"332",2,"Washington, Pullman","bioc_14","SSP370","2041-2060",19.3
"333",2,"Washington, Pullman","bioc_16","SSP370","2041-2060",219.6
"334",2,"Washington, Pullman","bioc_17","SSP370","2041-2060",63.6
"335",2,"Washington, Pullman","bioc_18","SSP370","2041-2060",71.4
"336",2,"Washington, Pullman","bioc_19","SSP370","2041-2060",201.4
"337",2,"Washington, Pullman","bioc_5","SSP370","2061-2080",34.6299991607666
"338",2,"Washington, Pullman","bioc_6","SSP370","2061-2080",-1.01000001132488
"339",2,"Washington, Pullman","bioc_8","SSP370","2061-2080",2.32000000476837
"340",2,"Washington, Pullman","bioc_9","SSP370","2061-2080",24.9800001144409
"341",2,"Washington, Pullman","bioc_10","SSP370","2061-2080",22.910000038147
"342",2,"Washington, Pullman","bioc_11","SSP370","2061-2080",3.02999999523163
"343",2,"Washington, Pullman","bioc_13","SSP370","2061-2080",78.4
"344",2,"Washington, Pullman","bioc_14","SSP370","2061-2080",19
"345",2,"Washington, Pullman","bioc_16","SSP370","2061-2080",224
"346",2,"Washington, Pullman","bioc_17","SSP370","2061-2080",63
"347",2,"Washington, Pullman","bioc_18","SSP370","2061-2080",65.1
"348",2,"Washington, Pullman","bioc_19","SSP370","2061-2080",209.8
"349",2,"Washington, Pullman","bioc_5","SSP370","2081-2100",36.35
"350",2,"Washington, Pullman","bioc_6","SSP370","2081-2100",-2.23517417907715e-09
"351",2,"Washington, Pullman","bioc_8","SSP370","2081-2100",3.21999999284744
"352",2,"Washington, Pullman","bioc_9","SSP370","2081-2100",26.8000001907349
"353",2,"Washington, Pullman","bioc_10","SSP370","2081-2100",24.5999998092651
"354",2,"Washington, Pullman","bioc_11","SSP370","2081-2100",3.95999999046326
"355",2,"Washington, Pullman","bioc_13","SSP370","2081-2100",83.2
"356",2,"Washington, Pullman","bioc_14","SSP370","2081-2100",19
"357",2,"Washington, Pullman","bioc_16","SSP370","2081-2100",232
"358",2,"Washington, Pullman","bioc_17","SSP370","2081-2100",63.3
"359",2,"Washington, Pullman","bioc_18","SSP370","2081-2100",64.9
